customer_id,Age,Occupation,Location,Status,Income,Car Segment,Car_Type,Flag_Customer_NPL
1100000001,21,Self Employee,Central,Single,13710,SUV,New Car,0
1100000002,44,Self Employee,North,Single,94864,SUV,Used Car,0
1100000003,23,Farmer,Central,Single,11231,Luxury,Used Car,0
1100000004,25,Self Employee,Central,Single,16547,Eco Car,New Car,0
1100000005,35,Self Employee,North-east,Single,28193,SUV,Used Car,1
1100000006,23,Farmer,Central,Married,14330,Eco Car,Used Car,0
1100000007,26,Self Employee,Central,Married,13140,Eco Car,New Car,0
1100000008,32,Farmer,North,Married,44128,Pickup,Used Car,0
1100000009,36,Salary,Central,Single,59217,Eco Car,Used Car,0
1100000010,31,Self Employee,North,Single,46783,Eco Car,New Car,0
1100000011,30,Salary,North-east,Married,54264,Eco Car,Used Car,0
1100000012,29,Farmer,Central,Single,16042,Eco Car,New Car,0
1100000013,36,Farmer,North-east,Single,67744,Eco Car,New Car,0
1100000014,26,Salary,Central,Married,19259,Eco Car,Used Car,0
1100000015,32,Farmer,North-east,Married,29298,Pickup,Used Car,0
1100000016,36,Farmer,North-east,Single,66873,Luxury,New Car,1
1100000017,32,Farmer,North-east,Single,63674,Pickup,New Car,0
1100000018,28,Self Employee,North-east,Single,18321,Pickup,New Car,0
1100000019,30,Salary,Central,Married,52479,Eco Car,Used Car,0
1100000020,29,Salary,North,Married,19119,Pickup,New Car,0
1100000021,29,Self Employee,North-east,Single,14685,SUV,New Car,1
1100000022,36,Farmer,North-east,Single,66817,SUV,New Car,0
1100000023,36,Farmer,North,Married,49841,Eco Car,Used Car,0
1100000024,22,Self Employee,North-east,Single,14692,SUV,Used Car,0
1100000025,29,Self Employee,North,Single,19454,Pickup,Used Car,0
1100000026,34,Self Employee,South,Single,46610,SUV,New Car,0
1100000027,30,Self Employee,Central,Single,45287,SUV,New Car,1
1100000028,32,Farmer,North,Single,43348,Luxury,New Car,0
1100000029,28,Self Employee,South,Single,11249,SUV,Used Car,0
1100000030,25,Farmer,Central,Single,18565,SUV,Used Car,0
1100000031,23,Farmer,North-east,Single,10100,SUV,Used Car,1
1100000032,24,Salary,South,Single,10487,Pickup,Used Car,0
1100000033,26,Salary,North-east,Married,15624,Pickup,New Car,0
1100000034,55,Farmer,North-east,Single,142184,SUV,Used Car,0
1100000035,23,Farmer,Central,Single,16331,SUV,New Car,0
1100000036,19,Salary,Central,Single,15539,Eco Car,New Car,0
1100000037,37,Farmer,North-east,Married,33992,Pickup,Used Car,0
1100000038,28,Salary,Central,Single,18626,Pickup,New Car,0
1100000039,45,Farmer,Central,Single,147766,SUV,New Car,0
1100000040,29,Self Employee,South,Single,17016,SUV,Used Car,0
1100000041,48,Farmer,South,Married,56095,Eco Car,Used Car,0
1100000042,30,Salary,Central,Married,46430,Eco Car,Used Car,0
1100000043,32,Salary,North-east,Married,50079,Eco Car,Used Car,0
1100000044,36,Farmer,North,Married,50426,Pickup,New Car,0
1100000045,39,Self Employee,North-east,Single,62282,Eco Car,Used Car,0
1100000046,22,Salary,Central,Single,13141,SUV,Used Car,0
1100000047,35,Farmer,Central,Married,26988,Pickup,Used Car,0
1100000048,39,Salary,North,Single,70095,Luxury,New Car,1
1100000049,34,Farmer,Central,Single,59878,Eco Car,Used Car,0
1100000050,32,Salary,North-east,Single,53482,Eco Car,New Car,0
1100000051,18,Farmer,North-east,Single,15894,Eco Car,New Car,0
1100000052,24,Farmer,Central,Single,11398,Eco Car,New Car,0
1100000053,28,Salary,North,Single,11327,Pickup,Used Car,0
1100000054,37,Farmer,Central,Married,72897,Pickup,New Car,0
1100000055,19,Self Employee,North,Single,14567,SUV,Used Car,0
1100000056,32,Salary,Central,Single,49076,Eco Car,Used Car,0
1100000057,36,Self Employee,South,Married,33140,SUV,New Car,1
1100000058,31,Farmer,Central,Married,28233,SUV,Used Car,0
1100000059,22,Salary,North-east,Married,12177,Pickup,New Car,0
1100000060,22,Farmer,Central,Single,18586,Eco Car,New Car,0
1100000061,22,Salary,Central,Single,14417,Eco Car,New Car,0
1100000062,29,Salary,Central,Single,15372,Luxury,Used Car,0
1100000063,29,Farmer,South,Married,12517,Eco Car,Used Car,0
1100000064,36,Salary,North,Single,33596,Eco Car,Used Car,0
1100000065,29,Farmer,North-east,Married,12035,Pickup,New Car,0
1100000066,35,Salary,North-east,Single,38818,Pickup,Used Car,0
1100000067,33,Salary,Central,Married,36402,Eco Car,Used Car,0
1100000068,24,Salary,North,Single,19111,Eco Car,New Car,0
1100000069,36,Self Employee,North-east,Married,32576,Pickup,New Car,0
1100000070,24,Salary,Central,Married,18442,Luxury,Used Car,1
1100000071,33,Salary,Central,Single,43591,Pickup,Used Car,0
1100000072,37,Salary,South,Single,47547,SUV,Used Car,1
1100000073,26,Salary,Central,Married,19767,SUV,New Car,0
1100000074,26,Self Employee,North-east,Single,11227,Eco Car,New Car,0
1100000075,27,Self Employee,South,Married,16628,Eco Car,New Car,0
1100000076,28,Farmer,Central,Single,16014,Eco Car,Used Car,0
1100000077,18,Self Employee,Central,Married,14930,Eco Car,Used Car,0
1100000078,30,Salary,North-east,Single,47184,Pickup,Used Car,0
1100000079,27,Self Employee,South,Married,13361,Eco Car,New Car,0
1100000080,25,Self Employee,South,Married,14719,SUV,New Car,1
1100000081,15,Salary,North,Married,15927,Eco Car,Used Car,0
1100000082,25,Self Employee,Central,Married,10769,Eco Car,Used Car,0
1100000083,22,Salary,Central,Single,18881,Eco Car,Used Car,0
1100000084,31,Farmer,Central,Married,25677,Luxury,New Car,0
1100000085,26,Salary,North-east,Married,16900,SUV,Used Car,1
1100000086,25,Salary,Central,Married,17823,Pickup,Used Car,0
1100000087,28,Salary,Central,Single,12418,Pickup,Used Car,0
1100000088,20,Farmer,North-east,Married,14916,Eco Car,Used Car,0
1100000089,35,Salary,North,Married,52462,Eco Car,New Car,0
1100000090,39,Farmer,North-east,Single,28627,Eco Car,Used Car,0
