Age,Cust_segment,Gender,Customer_status,Customer_year,Sale
36,High,F,Active,21,60572.71875
39,High,M,Active,7,48472.63965
12,High,M,Active,13,18696.2793
32,High,F,Active,4,29870.8291
21,High,F,Active,8,23238.5293
54,High,M,Active,17,75509.13
36,High,F,Active,20,22546.42041
38,High,F,Active,20,33771.07129
26,High,F,Active,8,57673.15922
28,High,M,Active,14,84300.69141
33,High,F,Active,16,87050.47852
24,High,F,Active,5,49207.52005
28,High,M,Active,9,56587.0293
28,High,F,Active,10,39946.5
25,High,F,Active,9,69797.91016
19,High,F,Active,9,22856.9193
25,High,F,Active,9,85453.17188
37,Low,F,Active,21,54586.271
23,High,M,Active,13,16118.17044
24,High,M,Active,7,9185.530352
14,High,M,Active,2,26968.35938
24,High,M,Active,8,47748.64063
27,High,F,Active,10,26846
59,Low,F,Inactive,13,77512.01
27,High,F,Active,5,93635.84375
41,Low,M,Active,10,65501.49829
46,Low,F,Inactive,15,31987.76172
28,High,M,Active,6,51539.09961
33,High,F,Active,5,19353.16016
34,High,M,Active,21,48596.46875
55,High,M,Inactive,11,20915
42,High,F,Active,22,127281.9609
30,Low,M,Active,9,13356.91
31,Low,M,Active,8,81200.93164
34,High,F,Active,3,77139.67969
46,High,F,Active,16,14105.27976
21,High,M,Active,4,17585.32996
56,Low,F,Active,15,13580.9502
67,Low,M,Active,22,42530.89063
38,High,F,Active,8,68567.73047
25,High,M,Active,5,16977
38,Low,F,Active,11,20203.25977
31,High,M,Active,15,27948.89023
48,High,M,Active,13,23284.76038
22,High,M,Active,17,16913.05992
26,High,F,Active,4,63542.62172
29,High,M,Active,4,92049.67065
39,High,M,Active,9,85778.08984
24,High,M,Active,16,30189.50977
35,High,M,Active,19,32047.69922
38,High,F,Active,21,50038.80859
26,High,F,Active,8,86332.39
42,Low,M,Active,13,99788.29688
23,High,F,Active,7,12997.45996
19,High,F,Active,3,28342.14941
25,High,F,Active,6,95359.09188
32,High,F,Active,13,59602.57031
28,High,M,Active,3,63224.39939
24,High,M,Active,4,45947.88953
55,High,F,Active,17,95104.08834
39,High,F,Active,21,31108.47949
47,High,M,Active,7,48757.26969
40,High,F,Inactive,7,12477.15039
22,High,F,Active,15,60918.76172
25,High,F,Active,7,75812.76856
34,High,F,Active,6,25195.39056
43,High,M,Active,5,98102.73164
31,High,F,Active,20,17534.53955
42,High,F,Active,21,131283.5234
49,Low,M,Active,12,77497.61231
36,High,M,Active,5,18794.83078
24,Low,F,Active,5,13333.89966
52,Low,M,Active,3,8860.69043
24,High,M,Active,1,16203.92914
20,High,F,Active,3,25700.84
31,High,F,Active,21,17345.73
34,High,F,Active,10,56953.46
27,High,M,Active,14,46405.79077
49,High,F,Active,9,9011.180709
77,Low,F,Inactive,16,30323.7793
69,High,M,Inactive,9,58051.9
74,High,M,Inactive,20,47404.42969
25,High,F,Active,15,12124.91992
22,High,F,Active,14,16659.25049
37,High,F,Active,16,25388.61035
11,High,F,Active,2,11582.9502
12,High,F,Active,4,79531.11719
21,High,F,Active,6,84066.30713
48,High,M,Active,6,42137.73999
35,High,M,Active,22,92650.12122
26,High,M,Inactive,18,65414.59
39,High,F,Active,11,70354.04932
46,High,M,Active,4,10561.21973
29,High,F,Active,3,32295.34016
11,High,M,Active,3,64767.00977
48,High,M,Active,6,46907.58821
61,High,M,Inactive,15,133675.4688
37,Low,M,Active,18,83691.0223
44,High,M,Active,18,12364.53973
39,Low,F,Active,15,69231.03027
44,High,M,Active,20,16330.97998
12,High,F,Active,10,12843.82031
31,High,F,Active,9,152407.3887
15,High,F,Active,5,71932.56218
43,High,F,Active,8,48568.23037
68,High,M,Inactive,24,45018.29175
24,High,F,Active,1,17330.06
35,High,F,Active,5,94307.29297
34,High,F,Active,7,31795.91992
40,High,M,Active,18,47296.49011
47,High,F,Active,20,16742.58008
24,High,F,Active,10,29430.32983
31,High,M,Active,10,79729.38062
18,High,M,Active,3,14777.67969
13,High,M,Active,5,70345.53845
24,High,M,Active,13,32052.10938
48,High,M,Active,6,84137.33
51,Low,F,Active,22,77920.2
34,High,F,Active,12,39876.70947
25,High,F,Active,10,37578.02934
24,Low,M,Active,18,82269.93109
22,Low,F,Active,3,29179.14941
63,High,F,Active,21,85344.1
41,High,F,Active,20,95215.35938
77,Low,F,Inactive,24,33689.03027
26,High,F,Active,4,25923.53906
37,High,M,Active,15,48544.29102
50,High,M,Inactive,22,44598.06
41,High,F,Active,20,46335.44922
24,High,F,Active,4,26870.3299
32,Low,M,Active,22,18563.61
23,High,F,Active,11,29100.56067
49,High,F,Active,17,37552.21857
48,High,F,Active,22,33920.96
32,High,F,Active,13,83768.4
64,Low,M,Inactive,20,26887.44
29,High,M,Active,14,15995.81055
22,High,F,Active,2,29324.53906
12,High,F,Active,8,35778.72828
31,High,M,Active,15,23226.17993
29,High,F,Active,14,54751.80078
62,Low,F,Active,20,68220
36,High,M,Active,20,27224.38909
37,High,M,Active,11,93845.90625
26,High,F,Active,12,87502.10181
36,High,M,Active,16,15872.15039
37,Low,M,Active,6,48490.09
46,High,M,Active,11,31031.36914
66,High,M,Inactive,22,100811.81
32,High,F,Active,8,30839.03
45,Low,M,Active,19,56602.37031
29,High,F,Active,7,53467.80859
22,High,F,Active,6,23945.41906
42,High,F,Active,19,18883.30963
34,High,F,Active,20,69586.23
31,High,M,Active,21,34493.20908
40,High,F,Inactive,7,97138.39
46,High,F,Active,23,84439.69141
42,High,F,Active,20,39595.9502
44,High,F,Active,16,15120.51953
56,High,F,Active,2,78936.10938
40,High,F,Active,19,21327.18953
37,High,F,Active,8,25661.14086
25,High,F,Active,2,32732.76953
26,High,M,Active,14,39341.76109
33,High,F,Active,4,29590.15039
22,High,F,Active,4,31168.82031
22,High,F,Inactive,18,55535.34
56,High,F,Active,3,61377.11078
34,High,M,Active,9,80700.82955
11,Low,F,Active,3,51389.17172
45,High,M,Active,22,42112.66016
31,High,M,Active,18,58905.86939
21,High,F,Active,3,35726.87109
34,High,M,Active,9,46512.58899
34,High,F,Active,18,95730.09697
36,High,F,Active,21,131477.5208
59,High,F,Inactive,20,17962.43
28,High,M,Active,19,51592.71173
27,High,F,Inactive,7,18498.41
26,High,M,Active,8,53174.93844
31,High,F,Active,17,9795.480234
28,High,M,Active,4,31715.57813
53,Low,F,Inactive,10,26799.80078
33,High,F,Active,20,151573.1406
24,High,F,Active,1,15018.50039
20,High,F,Active,6,67716.22031
49,Low,M,Active,20,58867
21,High,F,Active,13,35367.10938
29,High,F,Active,11,90701.06
39,High,M,Active,14,65928.70937
43,Low,M,Active,19,90522.25977
41,High,M,Active,15,32405.48047
27,High,M,Active,4,30569.3501
29,High,F,Active,18,16830.73975
32,Low,M,Active,6,67600.66
28,High,M,Active,5,17805.79932
20,High,M,Active,4,91376.94
52,High,F,Active,21,38928.32092
16,High,F,Active,2,69083.57031
28,High,F,Active,9,14093.59961
24,High,M,Active,3,28014.31961
44,Low,F,Active,18,22180.26953
46,Low,M,Active,10,49000.44
34,High,F,Active,13,65943.83008
56,High,F,Active,6,28632.68091
36,High,F,Active,16,31765.9707
49,Low,M,Active,22,108689.5481
25,Low,F,Active,20,14810.61993
41,High,M,Active,4,62405.80078
65,Low,F,Inactive,19,10388.61035
